Match,Team,Position,Name,Status,Runs,Balls,M,4s,6s,SR,id
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,1,Abhishek Sharma,out,2,5,3,0,0,40.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,2,Travis Head,out,0,1,11,0,0,0.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,3,Rahul Tripathi,out,9,13,21,1,0,69.23,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,4,Aiden Markram,out,20,23,41,3,0,86.95,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,5,Nitish Kumar Reddy,out,13,10,14,1,1,130.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,6,Heinrich Klaasen †,out,16,17,32,1,0,94.11,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,7,Shahbaz Ahmed,out,8,7,5,0,1,114.28,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,8,Abdul Samad,out,4,4,3,0,0,100.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,9,Pat Cummins (c),out,24,19,28,2,1,126.31,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,10,Jaydev Unadkat,out,4,11,16,0,0,36.36,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,11,Bhuvneshwar Kumar,not_out,0,1,3,0,0,0.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,1,Rahmanullah Gurbaz †,out,39,32,46,5,2,121.87,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,2,Sunil Narine,out,6,2,6,0,1,300.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,3,Venkatesh Iyer,not_out,52,26,46,4,3,200.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,4,Shreyas Iyer (c),not_out,6,3,6,1,0,200.00,ipl_1097
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,1,Travis Head,out,34,28,42,3,1,121.42,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,2,Abhishek Sharma,out,12,5,4,1,1,240.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,3,Rahul Tripathi,out,37,15,14,5,2,246.66,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,4,Aiden Markram,out,1,2,1,0,0,50.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,5,Heinrich Klaasen †,out,50,34,64,0,4,147.05,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,6,Nitish Kumar Reddy,out,5,10,17,0,0,50.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,7,Abdul Samad,out,0,1,1,0,0,0.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,8,Shahbaz Ahmed,out,18,18,32,0,1,100.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,9,Pat Cummins (c),not_out,5,5,11,1,0,100.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,10,Jaydev Unadkat,out,5,2,4,1,0,250.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,1,Yashasvi Jaiswal,out,42,21,39,4,3,200.00,ipl_1096
