Match,Team,Name,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,WD,NB,id
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Mitchell Starc,3,0,14,2,4.66,11,2,0,0,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Vaibhav Arora,3,0,24,1,8.00,9,2,1,4,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Harshit Rana,4,1,24,2,6.00,13,2,1,1,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,4,0,16,1,4.00,9,0,0,0,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,2.3,0,19,3,7.60,7,1,1,1,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Varun Chakravarthy,2,0,9,1,4.50,7,1,0,0,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,Bhuvneshwar Kumar,2,0,25,0,12.50,5,2,2,1,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,Pat Cummins,2,0,18,1,9.00,7,2,1,1,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,T Natarajan,2,0,29,0,14.50,2,4,1,2,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,Shahbaz Ahmed,2.3,0,22,1,8.80,7,1,2,0,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,Jaydev Unadkat,1,0,9,0,9.00,1,1,0,0,0,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,Aiden Markram,1,0,5,0,5.00,2,0,0,0,0,ipl_1097
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Trent Boult,4,0,45,3,11.25,7,3,3,2,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Ravichandran Ashwin,4,0,43,0,10.75,4,3,2,0,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Sandeep Sharma,4,0,25,2,6.25,10,3,0,1,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Avesh Khan,4,0,27,3,6.75,11,2,1,2,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,Yuzvendra Chahal,4,0,34,0,8.50,9,0,3,2,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Bhuvneshwar Kumar,3,0,33,0,11.00,7,4,2,0,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Pat Cummins,4,0,30,1,7.50,10,3,1,1,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,T Natarajan,3,0,13,1,4.33,13,2,0,1,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Jaydev Unadkat,1,0,5,0,5.00,2,0,0,1,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Shahbaz Ahmed,4,0,23,3,5.75,13,2,1,0,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Abhishek Sharma,4,0,24,2,6.00,8,2,0,0,0,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,Aiden Markram,1,0,10,0,10.00,2,0,1,0,1,ipl_1096
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,Trent Boult,4,0,16,1,4.00,14,1,0,0,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,Sandeep Sharma,4,0,48,1,12.00,3,5,2,0,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,Avesh Khan,4,0,44,3,11.00,6,5,2,0,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,Ravichandran Ashwin,4,0,19,2,4.75,9,0,0,2,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,Yuzvendra Chahal,4,0,43,1,10.75,7,2,4,0,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,Swapnil Singh,2,0,19,0,9.50,4,2,1,0,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,Mohammed Siraj,4,0,33,2,8.25,7,4,0,3,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,Yash Dayal,3,0,37,0,12.33,5,8,0,0,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,Lockie Ferguson,4,0,37,1,9.25,9,3,2,0,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,Karn Sharma,2,0,19,1,9.50,1,2,0,2,0,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,Cameron Green,4,0,28,1,7.00,9,1,2,0,0,ipl_1095
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Mitchell Starc,4,0,34,3,8.50,11,5,1,1,0,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Vaibhav Arora,2,0,17,1,8.50,5,1,0,2,1,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Harshit Rana,4,0,27,1,6.75,9,2,1,1,0,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,4,0,40,1,10.00,7,2,3,0,0,ipl_1094
